Date,Food,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other,Mkt,RF
1931-03-01,  -3.02,  -0.02,  -8.65,  -7.28,  -0.40,  -6.08,  -7.88,  -1.37,  -7.94,  -3.90, -10.24,  -2.86,  -3.42,  -8.58,  -4.04,  -6.35   0.13,   0.13
1931-04-01,  -9.12,  -9.45, -13.90, -12.94,   0.48, -13.87, -16.97,  -7.07, -12.06,  -7.53,  -8.29,  -9.04,  -4.82, -15.77,  -8.94, -10.00   0.08,   0.08
1931-05-01, -13.14,  -2.60, -11.04, -11.82, -10.82, -16.31, -20.91, -15.71, -14.88, -16.43, -17.17, -11.17,  -2.99, -18.49, -10.82, -13.29   0.09,   0.09
1931-06-01,  11.22,  11.07,   3.79,  19.22,  11.15,  16.33,  19.54,  14.89,  14.63,  14.58,  16.75,  10.93,   7.93,  23.77,  13.04,  13.93   0.08,   0.08
1931-07-01,  -4.61,  -3.96,  -8.86,  -6.24,  -2.03, -10.10, -15.18, -13.13,  -9.89,  -2.19, -10.37,  -5.41,  -1.42,  -8.84,  -5.79,  -6.63   0.06,   0.06
1931-08-01,   1.78,  -1.73,  -1.38,   1.39,  -2.52,  -2.43,   0.55,   0.01,   1.39,  -2.97,  -6.48,   0.00,   3.10,   0.38,   1.67,   0.40   0.03,   0.03
1931-09-01, -29.74, -12.07, -31.30, -30.97, -26.10, -32.16, -27.17, -23.27, -32.79, -34.92, -22.01, -29.60, -30.48, -40.25, -25.16, -28.74   0.03,   0.03
1931-10-01,  10.55,  -1.14,  12.06,   4.98,   8.77,   6.54,   1.88,  10.03,  11.32,  12.91,  -1.30,  10.48,  14.26,  12.02,   5.09,   7.99   0.10,   0.10
1931-11-01,  -2.43,  -3.62,  -6.80,  -5.05,  -5.89,  -8.13,  -9.49, -10.71,  -9.28,  -3.57, -20.59,  -4.81,  -9.50, -11.18, -10.64,  -9.14   0.17,   0.17
1931-12-01, -10.96, -12.36, -25.27,  -6.27,  -6.49, -16.05, -25.70, -13.52, -12.88,  -8.51, -15.21, -13.25, -15.27, -21.16, -10.56, -13.52   0.12,   0.12
1932-01-01,  -1.59,   3.81,   2.18,  -5.94,   4.96,  -2.06,   3.16,   1.31, -10.90,  -7.37,   8.57,  -2.53,   1.00,   3.75,  -2.54,  -1.57   0.23,   0.23
1932-02-01,   8.35,   1.62,   9.31,   9.04,   3.62,  11.72,   4.88,   9.95,   2.17,   1.74,  -3.49,   7.08,   4.06,  13.61,  10.51,   5.45   0.23,   0.23
1932-03-01,  -7.09,  -2.79, -14.23, -11.89,  -7.76, -13.94, -16.49,  -8.51, -11.29, -22.47, -18.41, -10.40,  -8.58, -15.41, -11.95, -11.30   0.16,   0.16
1932-04-01, -13.34,  -7.25, -23.10, -33.44, -10.68, -17.38, -19.46, -30.17, -23.10, -29.79, -23.62, -15.65, -15.38, -18.91, -13.36, -17.94   0.11,   0.11
1932-05-01, -21.90,  -8.19, -35.55, -10.53, -23.16, -16.65, -22.70, -15.06, -25.47, -18.49, -33.39, -27.29, -29.46, -30.44, -14.68, -20.51   0.06,   0.06
1932-06-01,  -0.85,  -4.90,   3.67,  -5.03,   1.45,   1.19,   2.04,  -2.26,   2.52,  -8.21,  -0.34,   1.46,  -0.38,   6.11,  -7.50,  -0.77   0.02,   0.02
1932-07-01,  32.94,  -9.56,  42.08,  29.55,  27.10,  34.51,  62.13,  23.21,  39.85,  45.26,  58.61,  29.42,  27.30,  52.05,  20.83,  33.61   0.02,   0.02
1932-08-01,  23.99,  38.39,  71.32,  36.15,  20.75,  38.89,  59.10,  41.07,  44.70,  44.79,  62.17,  43.55,  32.82,  59.47,  33.28,  37.12   0.03,   0.03
1932-09-01,  -1.44,  -3.99,  -6.86,   6.05,  -1.40,   1.98, -10.04,  -0.90,  -6.91,   9.14,  -0.79,  -4.65,   2.95,  -6.98,  -0.94,  -2.94   0.03,   0.03
1932-10-01,  -9.51, -10.17, -25.17, -16.03, -13.66, -16.69, -15.82,  -4.40, -18.06, -24.87, -19.88, -10.83, -12.59, -17.17, -11.13, -13.15   0.02,   0.02
1932-11-01,  -7.11,  -6.01,  -8.38,  -1.76,  -6.33,  -5.70, -22.50,  -2.56,  -6.89,  -2.72,  -9.18,  -3.62,  -5.58,  -3.39,  -2.50,  -5.88   0.02,   0.02
1932-12-01,   7.47,  -3.29,  -7.53,  13.38,   2.11,   2.48,  -8.31,   8.91,   8.65,   4.76,   5.92,   9.15,   5.07,   8.86,   2.01,   4.42   0.01,   0.01
1933-01-01,   0.26,   6.35,   2.11,   4.64,   5.86,  -2.49,   2.64,   9.77,   3.38,   0.91,  13.74,  -4.40,  -2.31,   1.51,  -0.25,   1.24   0.01,   0.01
1933-02-01,  -9.73,  -5.05, -21.60, -16.36, -10.83, -17.78, -17.04, -12.42, -20.08, -24.94, -16.59, -19.91, -18.19, -20.15,  -9.77, -15.29  -0.03,  -0.03
1933-03-01,  13.44,   7.11,   6.96,   4.63,   7.14,  13.34,  14.62,   8.05,  10.71,   9.45,   7.88, -13.05,   8.60,  -6.92,  -4.42,   3.06   0.04,   0.04
1933-04-01,  33.84,  44.50,  64.58,  46.36,  37.74,  42.82,  83.90,  42.29,  47.98,  80.43,  31.07,  25.69,  42.50,  42.82,  20.78,  38.81   0.10,   0.10
1933-05-01,  12.47,  29.84,  58.74,  28.70,  11.82,  38.88,  23.34,  17.30,  21.35,  24.97,  31.35,  19.30,  16.85,  26.23,  19.95,  21.43   0.04,   0.04
1933-06-01,  14.75,   7.93,  19.78,  11.72,   5.57,  21.37,  10.93,   4.18,  11.42,  20.77,  14.82,  15.59,  15.59,  18.56,  11.20,  13.10   0.02,   0.02
1933-07-01,  -8.99,  -8.26,  -5.75,  -9.05,  -6.00, -15.20, -10.17,  -6.97, -13.03,  -7.51,  -6.58, -13.49, -13.47, -12.47,  -5.39,  -9.64   0.02,   0.02
1933-08-01,  10.08,   7.45,  20.55,  20.98,   9.06,  15.90,  11.58,  11.30,  14.48,  20.92,  16.95,  -1.24,   7.03,   9.23,   6.58,  12.04   0.03,   0.03
1933-09-01,  -9.25, -11.46, -17.16,  -7.76,  -4.85, -14.06,  -9.11,  -5.08, -16.55, -15.34, -19.19, -19.76,  -8.57, -17.07,  -6.15, -10.65   0.02,   0.02
1933-10-01,  -8.66,  -5.74, -18.46,  -4.97,  -9.82,  -4.67, -12.91,  -3.99,  -7.96,  -9.88, -12.80,  -7.52,  -7.84, -12.90,  -7.68,  -8.36   0.01,   0.01
1933-11-01,   5.53,   7.52,   7.56,  15.92,   5.55,  10.39,  11.93,  11.54,  13.61,  26.17,   7.45,  -2.44,  14.59,   6.50,   6.14,   9.97   0.02,   0.02
1933-12-01,  -3.60,   0.67,   3.11,   6.98,  -5.66,   3.10,   5.29,   3.03,   1.34,  10.68,   7.08,   1.06,   4.77,   3.51,  -2.88,   1.82   0.02,   0.02
1934-01-01,  11.11,  18.44,  26.21,   4.57,   7.79,  15.19,  12.93,   4.81,  16.56,  12.92,  21.51,  20.54,  17.16,  24.10,   8.46,  12.60   0.05,   0.05
1934-02-01,  -7.65,  -1.84,   5.09,  -2.95,  -2.76,  -6.11,  -1.96,   1.88,  -5.39,  -2.44,  -4.27,  -1.75,   3.05,  -1.80,   1.41,  -2.51   0.02,   0.02
1934-03-01,   2.21,  -0.99,   1.56,  -1.14,  -1.95,  -0.80,  -1.16,  -1.51,   1.85,  -0.32,   0.14,  -1.81,   2.39,   0.60,   1.63,   0.09   0.02,   0.02
1934-04-01,   2.46,  -1.85,   0.02,  -3.60,   3.98,  -0.29,  -4.51,   1.94,  -2.59,  -6.94,  -1.57,  -3.76,  -1.28,  -1.03,  -0.55,  -1.79   0.01,   0.01
1934-05-01,  -4.85,  -7.63, -12.50,  -7.12,   0.20,  -9.77, -12.70,  -8.06,  -8.36, -12.93,  -9.63,  -7.79,  -7.96,  -8.34,  -5.31,  -7.26   0.01,   0.01
1934-06-01,   3.57,   2.23,  -3.04,   4.33,   5.23,   5.91,   6.30,   3.71,   2.96,  -2.98,   2.12,   4.32,   2.47,   5.07,   0.83,   2.71   0.01,   0.01
1934-07-01,  -7.05, -11.49, -24.89,  -5.03,  -1.76, -15.86, -16.26,  -3.45, -12.17, -13.58, -19.17, -17.26,  -8.24, -14.87,  -7.71, -10.94   0.01,   0.01
1934-08-01,   5.14,   2.98,  11.84,   6.18,   3.45,  10.53,   8.82,   4.90,   7.35,  10.95,   3.02,   2.03,   4.66,   5.66,   3.53,   5.58   0.01,   0.01
1934-09-01,  -1.92,   2.54,  -4.27,   0.95,   1.49,  -2.50,  -4.29,   1.82,   0.25,   0.84,  -0.01,   1.61,   2.60,  -2.27,   1.73,  -0.24   0.01,   0.01
1934-10-01,  -1.72,   0.46,   1.03,   0.36,   3.11,   2.74,  -6.01,   2.17,   0.66,  -2.26,  -2.41,  -7.60,   1.55,   1.90,  -0.93,  -1.66   0.01,   0.01
1934-11-01,   7.87,   9.20,  21.21,   8.64,   8.81,  14.39,  13.09,   8.19,  16.45,  17.59,   8.36,  -0.29,   9.70,   8.68,   1.71,   8.33   0.01,   0.01
1934-12-01,  -0.19,   0.97,   0.75,  -0.53,  -1.93,   1.28,   4.16,   4.68,   5.67,   3.75,  -0.01,  -8.64,  -1.12,   1.44,  -0.97,   0.36   0.01,   0.01
